pair_id	Sentence_A	Sentence_B	relation	order	additional_dimension	origin	A_cause_B	B_cause_A	A_precede_B	B_precede_A	answers	majority_vote	average_vote	quest_label	connective	connected_sent	conn_in_list	pair_ID	accept_answers	accept_st_dev	accept_average_vote	perplexity	rank
0	The man turned up the music late at night.	The man wanted to listen to the new album of his favourite rock band.	causality	A follows B	socially_challenging	origin	False	True	False	True	['NO', 'NO', 'NO', 'NO', 'YES', 'YES', 'NO', 'NO', 'YES', 'NO']	no	-0.4	AB_cause	because	The man turned up the music late at night, so the man wanted to listen to the new album of his favourite rock band.	so	3482	['1', '1', '2', '1', '4', '1', '1', '5', '3', '1', '1', '2', '2', '1', '10']	2.360790827950104	2.4	28.419485092163086	2
0	The man wanted to listen to the new album of his favourite rock band.	The man turned up the music late at night.	causality	B follows A	socially_challenging	origin	True	False	True	False	['NO', 'NO', 'YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO']	no	-0.8	BA_cause	thus	The man wanted to listen to the new album of his favourite rock band, because the man turned up the music late at night.	because	906	['1', '1', '5', '1', '1', '1', '10', '1', '1', '1', '6', '1', '2', '4', '5']	2.619584360585133	2.7333333333333334	49.49507141113281	3
0	The man wanted to listen to the new album of his favourite rock band.	The man turned up the music late at night.	causality	B follows A	socially_challenging	origin	True	False	True	False	['YES', 'NO', 'NO', 'NO', 'YES', 'NO', 'YES', 'NO', 'NO', 'YES']	no	-0.2	BA_temp	thus	The man wanted to listen to the new album of his favourite rock band, after the man turned up the music late at night.	after	3956	['1', '3', '2', '6', '3', '6', '1', '10', '2', '4', '8', '3', '2', '1', '1']	2.679966832298904	3.533333333333333	45.783634185791016	2
0	The man turned up the music late at night.	The man wanted to listen to the new album of his favourite rock band.	causality	A follows B	socially_challenging	origin	False	True	False	True	['YES', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'NO', 'YES', 'NO']	no	-0.6	AB_temp	because	The man turned up the music late at night, then the man wanted to listen to the new album of his favourite rock band.	then	3142	['1', '6', '3', '1', '6', '6', '4', '9', '7', '7', '10', '8', '1', '3', '6']	2.809507667427397	5.2	40.451416015625	4
0	The man wanted to listen to the new album of his favourite rock band.	The man turned up the music late at night.	causality	B follows A	socially_challenging	origin	True	False	True	False	['NO', 'YES', 'YES', 'YES', 'NO', 'YES', 'YES', 'NO', 'YES', 'YES']	yes	0.4	AB_temp	thus	The man wanted to listen to the new album of his favourite rock band, then the man turned up the music late at night.	then	2999	['3', '7', '5', '8', '2', '1', '5', '10', '9', '7', '6', '4', '7', '4', '4']	2.472964932132188	5.466666666666667	51.22897720336914	4
0	The man turned up the music late at night.	The man wanted to listen to the new album of his favourite rock band.	causality	A follows B	socially_challenging	origin	False	True	False	True	['NO', 'YES', 'YES', 'NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	0.6	BA_cause	because	The man turned up the music late at night, because the man wanted to listen to the new album of his favourite rock band.	because	2215	['10', '10', '10', '10', '4', '10', '10', '6', '1', '3', '5', '1', '10', '10', '5']	3.444802848737017	7.0	27.154428482055664	1
0	The man wanted to listen to the new album of his favourite rock band.	The man turned up the music late at night.	causality	B follows A	socially_challenging	origin	True	False	True	False	['YES', 'NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	0.8	AB_cause	thus	The man wanted to listen to the new album of his favourite rock band, so the man turned up the music late at night.	so	1968	['3', '1', '8', '1', '10', '7', '10', '4', '4', '6', '9', '9', '7', '2', '7']	3.0521395046025592	5.866666666666666	33.728050231933594	1
0	The man turned up the music late at night.	The man wanted to listen to the new album of his favourite rock band.	causality	A follows B	socially_challenging	origin	False	True	False	True	['YES', 'YES', 'YES', 'NO', 'YES', 'NO', 'NO', 'YES', 'YES', 'YES']	yes	0.4	BA_temp	because	The man turned up the music late at night, after the man wanted to listen to the new album of his favourite rock band.	after	1263	['10', '9', '3', '7', '7', '10', '8', '5', '7', '10', '5', '2', '3', '9', '3']	2.7535835237417845	6.533333333333333	36.3479118347168	3
1	Sarah is likely to throw away a bag of chips offered by her friend.	Sarah does not like to eat junk food.	causality	A follows B	socially_challenging	origin	False	True	False	True	['YES', 'YES', 'NO', 'NO', 'YES', 'YES', 'YES', 'YES', 'YES', 'NO']	yes	0.4	AB_temp	because	Sarah is likely to throw away a bag of chips offered by her friend, then Sarah does not like to eat junk food.	then	4534	['1', '1', '1', '1', '1', '6', '10', '9', '1', '9', '6', '1', '1', '5', '5']	3.343982987729187	3.866666666666666	32.889976501464844	4
1	Sarah does not like to eat junk food.	Sarah is likely to throw away a bag of chips offered by her friend.	causality	B follows A	socially_challenging	origin	True	False	True	False	['YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES', 'YES']	yes	1.0	AB_temp	thus	Sarah does not like to eat junk food, then Sarah is likely to throw away a bag of chips offered by her friend.	then	3570	['7', '6', '6', '5', '1', '6', '1', '2', '1', '8', '9', '10', '1', '1', '1']	3.2180049029725786	4.333333333333333	16.23930549621582	2
